,State,DC Fast Charge,Level 1,Level 2,EV Network
0,CA,,2.0,,
1,CA,,1.0,2.0,
2,CA,1.0,,260.0,
3,CA,,,4.0,
4,CA,,,2.0,ChargePoint Network
5,CA,,,4.0,
6,CA,,,14.0,ChargePoint Network
7,CA,,,2.0,
8,CA,,,2.0,
9,CA,,,2.0,
10,CA,,,2.0,
11,CA,,,6.0,
12,CA,,,16.0,
13,CA,,,2.0,
14,CA,,,3.0,
15,CA,,,2.0,
16,CA,,,,
17,CA,,,1.0,
18,CA,,,1.0,
19,CA,,,20.0,
20,CA,,,7.0,
21,CA,,,1.0,
22,CA,,,2.0,
23,CA,,,1.0,
24,CA,,,2.0,
25,CA,,,6.0,ChargePoint Network
26,CA,,,2.0,
27,CA,,,4.0,
28,CA,,,3.0,
29,CA,,1.0,3.0,
30,CA,,,2.0,
31,CA,,,2.0,
32,CA,,1.0,,
33,CA,,,2.0,
34,CA,,,4.0,
35,CA,,,2.0,
36,CA,,,5.0,
37,CA,,,1.0,
38,CA,,,4.0,
39,CA,,,,
40,CA,,,,
41,CA,,,1.0,
42,CA,,,1.0,
43,CA,,,,
44,CA,,,2.0,
45,CA,,,2.0,
46,CA,,,1.0,
47,CA,,,2.0,
48,CA,,,2.0,
49,CA,,,4.0,
50,CA,,,4.0,
51,CA,,,2.0,
52,CA,,12.0,16.0,
53,CA,,1.0,1.0,
54,CA,,,2.0,
55,CA,,,1.0,ChargePoint Network
56,CA,,,2.0,
57,CA,,,6.0,
58,CA,,,6.0,
59,CA,,2.0,2.0,ChargePoint Network
60,CA,,,5.0,
61,CA,,,4.0,
62,CA,,4.0,2.0,
63,CA,,,1.0,
64,CA,,,2.0,
65,CA,,,2.0,
66,CA,,,2.0,
67,CA,,,1.0,
68,CA,,,3.0,
69,CA,,,3.0,
70,CA,,1.0,3.0,
71,CA,,1.0,1.0,
72,CA,,,5.0,
73,CA,,,2.0,
74,CA,,4.0,21.0,
75,CA,,1.0,2.0,
76,CA,,,1.0,
77,CA,,,2.0,
78,CA,,,2.0,
79,CA,,,1.0,
80,CA,,,3.0,
81,CA,,,3.0,
82,CA,,,1.0,
83,CA,,,1.0,
84,CA,,,3.0,
85,CA,,1.0,,
86,CA,,,2.0,
87,CA,,,2.0,
88,CA,,,1.0,
89,CA,,,1.0,
90,VT,,2.0,,
91,CA,,1.0,1.0,
92,CA,,,2.0,
93,CA,,,3.0,
94,CA,,,,
95,CA,,,10.0,
96,CA,,,2.0,
97,CA,,,20.0,
98,CA,,,2.0,ChargePoint Network
99,CA,,,12.0,ChargePoint Network
100,WA,,4.0,,
101,WA,,1.0,,
102,IL,,,2.0,
103,OR,,,1.0,
104,OR,,2.0,2.0,
105,CA,,1.0,,
106,CA,,,1.0,
107,CA,,1.0,1.0,
108,CA,,,3.0,
109,CA,,,1.0,
110,CA,,,2.0,
111,CA,,2.0,4.0,
112,CA,,,1.0,
113,CA,,,2.0,
114,CA,,,,
115,CA,,,2.0,
116,CA,,,2.0,SemaCharge Network
117,CA,,,2.0,
118,CA,,,1.0,
119,CA,,,2.0,
120,CA,,,2.0,ChargePoint Network
121,CA,,,2.0,
122,WA,,36.0,,
123,CA,,,20.0,ChargePoint Network
124,IL,,,4.0,
125,ID,,,2.0,
126,TX,,2.0,,
127,OR,,4.0,,
128,OR,,4.0,,
129,OR,,,1.0,
130,CA,,,2.0,ChargePoint Network
131,CA,,,,
132,CA,,1.0,1.0,ChargePoint Network
133,FL,,1.0,,ChargePoint Network
134,TN,,2.0,8.0,ChargePoint Network
135,VA,,4.0,,
136,OR,,1.0,3.0,ChargePoint Network
137,IA,,2.0,2.0,ChargePoint Network
138,FL,1.0,1.0,2.0,ChargePoint Network
139,WI,,,2.0,ChargePoint Network
140,WA,,2.0,,
141,CA,,,1.0,
142,HI,,,,
143,MI,,2.0,2.0,ChargePoint Network
144,OR,,,6.0,ChargePoint Network
145,OR,,1.0,1.0,ChargePoint Network
146,TX,,5.0,,ChargePoint Network
147,TX,,1.0,,ChargePoint Network
148,CA,,,2.0,
149,CA,,,4.0,
150,WA,,1.0,2.0,
151,WA,,,1.0,
152,IA,,,1.0,
153,IA,,,1.0,
154,MN,,1.0,,
155,CA,,,1.0,
156,FL,,1.0,1.0,ChargePoint Network
157,FL,,,1.0,ChargePoint Network
158,TX,,1.0,1.0,ChargePoint Network
159,AZ,,1.0,1.0,ChargePoint Network
160,CA,,,6.0,ChargePoint Network
161,CA,,1.0,1.0,ChargePoint Network
162,CO,,1.0,1.0,ChargePoint Network
163,CO,,4.0,,
164,CT,,2.0,,
165,IL,,1.0,,ChargePoint Network
166,MD,,1.0,,ChargePoint Network
167,NJ,,,1.0,
168,OR,,10.0,10.0,
169,RI,,1.0,1.0,ChargePoint Network
170,TX,,1.0,3.0,ChargePoint Network
171,TX,,1.0,1.0,ChargePoint Network
172,TX,,1.0,,ChargePoint Network
173,WA,,1.0,1.0,ChargePoint Network
174,WA,,1.0,1.0,ChargePoint Network
175,WA,,2.0,2.0,ChargePoint Network
176,NY,,1.0,,
177,CA,,,1.0,
178,IL,,2.0,2.0,ChargePoint Network
179,IL,,,4.0,ChargePoint Network
180,IL,,,2.0,ChargePoint Network
181,IL,,2.0,2.0,ChargePoint Network
182,IL,,1.0,1.0,ChargePoint Network
183,IL,,2.0,2.0,ChargePoint Network
184,SC,,,2.0,
185,SC,,,2.0,
186,SC,,,2.0,
187,CT,,,2.0,
188,CT,,2.0,2.0,
189,CT,,,3.0,
190,CT,,,3.0,
191,CT,,,2.0,
192,CT,,8.0,4.0,
193,CT,,,4.0,
194,CT,,1.0,1.0,
195,CT,,,3.0,
196,MI,,2.0,2.0,ChargePoint Network
197,MI,,2.0,2.0,ChargePoint Network
198,MI,,3.0,5.0,ChargePoint Network
199,MI,,1.0,1.0,ChargePoint Network
